Notes,State,State Code,Year,Year Code,Diabetes,Diabetes Code,Tobacco Use,Tobacco Use Code,Births
,Kentucky,21,2011,2011,No,2,Yes,1,11750
,Kentucky,21,2011,2011,No,2,No,2,40128
,Kentucky,21,2012,2012,Yes,1,Yes,1,676
,Kentucky,21,2012,2012,Yes,1,No,2,2713
,Kentucky,21,2012,2012,No,2,Yes,1,11590
,Kentucky,21,2012,2012,No,2,No,2,40203
,Kentucky,21,2013,2013,Yes,1,Yes,1,630
,Kentucky,21,2013,2013,Yes,1,No,2,2728
,Kentucky,21,2013,2013,No,2,Yes,1,11229
,Kentucky,21,2013,2013,No,2,No,2,40483
,Kentucky,21,2014,2014,Yes,1,Yes,1,683
,Kentucky,21,2014,2014,Yes,1,No,2,2721
,Kentucky,21,2014,2014,No,2,Yes,1,10902
,Kentucky,21,2014,2014,No,2,No,2,41618
,Kentucky,21,2015,2015,Yes,1,Yes,1,654
,Kentucky,21,2015,2015,Yes,1,No,2,2853
,Kentucky,21,2015,2015,No,2,Yes,1,10207
,Kentucky,21,2015,2015,No,2,No,2,41979
,Louisiana,22,2011,2011,Yes,1,Yes,1,198
,Louisiana,22,2011,2011,Yes,1,No,2,2397
,Louisiana,22,2011,2011,No,2,Yes,1,5302
,Louisiana,22,2011,2011,No,2,No,2,52745
,Louisiana,22,2012,2012,Yes,1,Yes,1,231
,Louisiana,22,2012,2012,Yes,1,No,2,2887
,Louisiana,22,2012,2012,No,2,Yes,1,4994
,Louisiana,22,2012,2012,No,2,No,2,52829
,Louisiana,22,2013,2013,Yes,1,Yes,1,232
,Louisiana,22,2013,2013,Yes,1,No,2,3492
,Louisiana,22,2013,2013,No,2,Yes,1,4746
,Louisiana,22,2013,2013,No,2,No,2,53497
,Louisiana,22,2014,2014,Yes,1,Yes,1,229
,Louisiana,22,2014,2014,Yes,1,No,2,3696
,Louisiana,22,2014,2014,No,2,Yes,1,4481
,Louisiana,22,2014,2014,No,2,No,2,54871
,Louisiana,22,2015,2015,Yes,1,Yes,1,248
,Louisiana,22,2015,2015,Yes,1,No,2,3665
,Louisiana,22,2015,2015,No,2,Yes,1,4165
,Louisiana,22,2015,2015,No,2,No,2,55446
,Maine,23,2014,2014,Yes,1,Yes,1,113
,Maine,23,2014,2014,Yes,1,No,2,787
,Maine,23,2014,2014,No,2,Yes,1,1972
,Maine,23,2014,2014,No,2,No,2,9799
,Maine,23,2015,2015,Yes,1,Yes,1,128
,Maine,23,2015,2015,Yes,1,No,2,706
,Maine,23,2015,2015,No,2,Yes,1,1825
,Maine,23,2015,2015,No,2,No,2,9899
,Maryland,24,2010,2010,Yes,1,Yes,1,275
,Maryland,24,2010,2010,Yes,1,No,2,3622
,Maryland,24,2010,2010,No,2,Yes,1,5510
,Maryland,24,2010,2010,No,2,No,2,61560
,Maryland,24,2011,2011,Yes,1,Yes,1,268
,Maryland,24,2011,2011,Yes,1,No,2,3720
,Maryland,24,2011,2011,No,2,Yes,1,5185
,Maryland,24,2011,2011,No,2,No,2,62553
,Maryland,24,2012,2012,Yes,1,Yes,1,299
,Maryland,24,2012,2012,Yes,1,No,2,3999
,Maryland,24,2012,2012,No,2,Yes,1,5051
,Maryland,24,2012,2012,No,2,No,2,62671
,Maryland,24,2013,2013,Yes,1,Yes,1,284
